,text,sentiments
0,"The movie was just okay, nothing special.",0
1,"The hotel room was clean and comfortable, but the breakfast was disappointing.",0
2,"I'm neutral about the new policy, it's not great but not terrible either.",0
3,"The product is okay, but it's not worth the price.",0
4,"The new restaurant is decent, but it's not my favorite.",0
5,"I'm neutral about the new policy, it's still too early to tell.",0
6,"I'm not impressed with the service, it was mediocre at best.",0
7,"The food was okay, nothing special.",0
8,"The experience was neutral, nothing stood out.",0
9,I didn't feel anything special about the product.,0
10,The food was good but the service was slow.,0
11,The apartment was small but the neighborhood was nice.,0
12,The weather today is sunny with a high of 75.,0
13,"The hotel room was clean and comfortable, but the bed was a bit too firm.",0
14,"The food at the restaurant was okay, but not great.",0
15,"The movie was just okay, not great but not bad either.",0
16,"The hotel was clean and comfortable, but the location was a bit inconvenient.",0
17,"The service at the restaurant was slow, but the food was good.",0
18,"The product was okay, but not what I expected.",0
19,The new policy changes are interesting. I'll have to see how they play out.,0
20,"It's fine, I guess. Nothing special about it though.",0
21,It's an okay place to visit if you're in the area. Nothing special though.,0
22,The performance was just average. Nothing stood out to me.,0
23,"It's a decent app, but there's room for improvement.",0
24,"The movie was okay, nothing special.",0
25,"The food was just average, not impressive.",0
26,"The museum was interesting, but not what I was expecting.",0
27,"The restaurant had a nice ambiance, but the food was just okay.",0
28,The weather today is quite typical for this time of year. Neither too hot nor too cold.,0
29,"The movie was okay. It had its moments, but it wasn't anything groundbreaking.",0
30,The new policy is reasonable and fair. It should benefit everyone in the long run.,0
31,"The quality of the product is exactly as described. No surprises, just reliable.",0
32,"The service was mediocre. It wasn't terrible, but it wasn't great either.",0
33,"The traffic was bad, but it's a common issue during rush hour. No big deal.",0
34,The app is functional but could use some improvements in the user interface.,0
35,The weather today is neither too hot nor too cold.,0
36,"The meal was okay, not great but not bad either.",0
37,The hotel room was exactly as advertised.,0
38,I don't have any strong feelings about the book I just finished reading.,0
39,"I think the movie I just watched was average, not bad but not amazing either.",0
40,The news today didn't really affect me one way or the other.,0
41,I have no emotional response to today's weather. It's just nice being outside.,0
42,"The taste is average, not great and not awful.",0
43,"The product is okay, nothing special but it'll do.",0
44,"No strong feelings, but everything was as expected.",0
